rank,forma,colocacion,muestra,cubierto,gaps_servidos,exceso,n_gaps_error,densidad,incertidumbre_anchura_media,n_componentes_periodicas,conecta_a1,conecta_a2,mallabilidad,motivo_mallado
192,hexagonal1,9,1,0.0,0.0,9.290511306659882,9,0.66607666015625,0.08078213036060333,,,,no_evaluada,
193,hexagonal1,10,1,0.0,0.0,8.35358152832149,8,0.5517578125,0.0291995108127594,,,,no_evaluada,
194,hexagonal1,11,1,0.0,0.0,7.681888172122323,7,0.24114990234375,0.04528370872139931,,,,no_evaluada,
195,hexagonal1,12,0,0.0,0.0,8.279834251896808,6,0.53924560546875,0.05041811987757683,,,,no_evaluada,
196,hexagonal1,12,1,0.0,0.0,8.395813717351167,7,0.53338623046875,0.04764556139707565,,,,no_evaluada,
197,hexagonal1,13,0,0.0,0.0,7.546298188260902,6,0.462890625,0.06628505885601044,,,,no_evaluada,
198,hexagonal2,0,1,0.0,0.0,3.9090901866103502,6,0.38726806640625,0.03854358568787575,,,,no_evaluada,
199,hexagonal2,2,0,0.0,0.0,5.812201903039756,3,0.53106689453125,0.05310184508562088,,,,no_evaluada,
200,hexagonal2,2,1,0.0,0.0,5.195308903251539,6,0.30712890625,0.06221093609929085,,,,no_evaluada,
201,hexagonal2,3,0,0.0,0.0,4.4079652110032415,6,0.475830078125,0.05095000937581062,,,,no_evaluada,
202,hexagonal2,6,0,0.0,0.0,11.561658460783278,9,0.41717529296875,0.05365481227636337,,,,no_evaluada,
203,hexagonal2,7,0,0.0,0.0,9.63569267769961,8,0.37420654296875,0.03885312378406525,,,,no_evaluada,
204,hexagonal2,8,0,0.0,0.0,6.488584809991875,5,0.5068359375,0.04956992343068123,,,,no_evaluada,
205,hexagonal2,8,1,0.0,0.0,7.034096775717713,2,0.388427734375,0.13416872918605804,,,,no_evaluada,
206,hexagonal2,9,0,0.0,0.0,4.474571912912396,5,0.440673828125,0.040023788809776306,,,,no_evaluada,
207,hexagonal2,10,0,0.0,0.0,6.1537165638890094,9,0.488525390625,0.03771096467971802,,,,no_evaluada,
208,hexagonal2,12,0,0.0,0.0,6.610425647332844,7,0.54486083984375,0.035734448581933975,,,,no_evaluada,
209,hexagonal2,13,1,0.0,0.0,7.776489686192093,7,0.31488037109375,0.06290077418088913,,,,no_evaluada,
210,hexagonal2,14,1,0.0,0.0,4.4621722838768125,5,0.41168212890625,0.041849300265312195,,,,no_evaluada,
